Artist;Listeners;Daily Trend;Peak;PkListeners
The Weeknd;107;592;328;138
Taylor Swift;101;3;302;889
Ed Sheeran;76;475;126;68
Dua Lipa;76;421;916;71
Bad Bunny;76;162;57;199
Rihanna;75;784;389;116
Drake;75;371;611;67
Justin Bieber;72;623;228;34
Billie Eilish;71;793;820;72
Miley Cyrus;71;277;599;71
David Guetta;70;838;823;97
Travis Scott;67;161;542;362
Ariana Grande;66;501;219;26
Coldplay;65;709;359;24
Calvin Harris;65;35;55;32
Shakira;64;372;12;130
Eminem;64;22;485;52
Post Malone;63;914;311;55
Bruno Mars;63;867;677;246
Doja Cat;63;625;260;716
Nicki Minaj;62;742;304;199
SZA;61;778;853;1
Harry Styles;59;560;609;131
Olivia Rodrigo;58;763;998;732
Imagine Dragons;58;675;255;139
Kanye West;58;60;520;91
Maroon 5;57;136;964;16
Marshmello;57;114;865;125
KAROL G;56;787;835;42
Lana Del Rey;56;710;801;29
Sam Smith;56;1;427;3
21 Savage;55;901;908;86
Selena Gomez;55;309;116;208
Daddy Yankee;54;174;801;95
Lady Gaga;52;765;199;1
Metro Boomin;52;207;822;97
Future;52;74;976;148
Khalid;51;957;671;57
J Balvin;51;590;178;73
BeyoncÃ©;51;442;770;122
Adele;51;380;385;57
Katy Perry;51;148;181;51
Peso Pluma;50;247;712;71
Elton John;48;343;456;43
Queen;47;586;54;93
Chris Brown;47;450;314;25
Kendrick Lamar;47;391;930;8
OneRepublic;47;384;563;104
Myke Towers;47;28;831;27
Rauw Alejandro;46;559;302;100
Ozuna;45;879;131;106
Arctic Monkeys;45;790;38;124
Sia;45;728;333;29
Shawn Mendes;44;310;129;12
Bebe Rexha;43;999;789;1
TiÃ«sto;43;284;312;243
Halsey;42;532;70;1
Bizarrap;42;259;38;150
Charlie Puth;41;537;987;17
Ice Spice;41;330;265;368
J. Cole;41;53;576;4
Ellie Goulding;40;958;180;74
AnneMarie;40;359;289;67
Madonna;40;170;466;70
Black Eyed Peas;39;759;9;4
Feid;39;309;942;23
Maluma;39;49;409;55
Camila Cabello;39;36;838;25
Swae Lee;38;810;802;23
Arijit Singh;38;690;595;147
One Direction;38;536;749;40
James Arthur;38;265;678;77
Farruko;37;832;243;46
Quevedo;37;671;317;44
Playboi Carti;37;595;35;34
The Chainsmokers;37;113;564;141
Pitbull;37;73;791;56
Gunna;36;860;616;101
Michael Jackson;36;634;625;65
Avicii;36;181;200;1
Kali Uchis;36;163;829;178
JAYZ;36;123;827;12
Latto;35;830;709;88
XXXTENTACION;35;700;316;87
Manuel Turizo;35;401;805;41
Grupo Frontera;35;384;989;45
Lil Wayne;35;298;366;3
ROSALÃA;35;254;223;174
Pritam;34;813;108;32
Lil Uzi Vert;34;776;681;128
Aqua;34;609;662;440
Sean Paul;34;452;73;20
Linkin Park;34;285;668;36
P!nk;34;111;856;50
Diplo;33;618;734;27
Britney Spears;33;461;12;12
Jhayco;33;434;552;173
Shreya Ghoshal;33;391;480;56
BTS;33;370;323;53
Justin Timberlake;33;200;525;145
Fleetwood Mac;33;130;490;105
Jung Kook;33;129;942;14
Don Omar;33;56;866;30
Central Cee;32;987;690;33
Anuel AA;32;893;376;3
Jason Derulo;32;845;537;53
DJ Snake;32;723;484;7
Ava Max;32;657;739;68
Becky G;32;649;815;40
Rema;32;565;695;107
The Neighbourhood;32;68;86;69
Lewis Capaldi;32;40;638;22
A.R. Rahman;31;769;38;36
The Kid LAROI;31;700;200;129
Cardi B;31;401;409;617
50 Cent;31;289;781;731
Young Thug;31;113;135;44
Coi Leray;31;104;332;17
Demi Lovato;31;83;651;142
Alan Walker;31;13;358;48
Pharrell Williams;30;939;195;60
Wiz Khalifa;30;768;961;37
Lil Baby;30;624;100;122
Snoop Dogg;30;263;549;59
Macklemore;30;261;973;48
Red Hot Chili Peppers;30;185;947;1
Juice WRLD;30;165;389;54
The Beatles;30;44;113;52
Green Day;29;704;236;158
A$AP Rocky;29;660;375;23
Tyler;29;527;907;26
DaBaby;29;327;146;34
Young Miko;29;292;68;15
Tainy;29;180;506;75
Lil Nas X;29;158;630;51
Labrinth;29;13;808;27
Creedence Clearwater Revival;28;942;817;90
Guns N' Roses;28;849;559;32
Dave;28;749;706;109
USHER;28;531;394;1
AC/DC;28;530;585;38
Kodak Black;28;193;190;27
Chencho Corleone;28;42;630;42
Sebastian Yatra;28;39;329;6
Hozier;28;0;162;65
RAYE;27;913;578;300
Nirvana;27;865;999;13
Nicky Jam;27;839;29;19
Miguel;27;835;809;27
Frank Ocean;27;775;72;48
ABBA;27;756;518;6
Lil Durk;27;688;791;64
Flo Rida;27;655;303;57
Troye Sivan;27;324;893;90
Robin Schulz;27;163;571;24
Kygo;27;98;941;58
Bon Jovi;26;747;426;43
Junior H;26;714;363;53
Ty Dolla $ign;26;675;835;86
Calum Scott;26;667;453;1
Steve Lacy;26;650;153;81
Jack Harlow;26;620;407;14
Eslabon Armado;26;453;581;125
