The Weeknd,"107592328","138880",1,"113034886"
Taylor Swift,"101003302",889,2,"101003302"
Ed Sheeran,"76475126","68137",2,"87934910"
Dua Lipa,"76421916","71356",4,"77778397"
Bad Bunny,"76162057","-199052",3,"83950570"
Rihanna,"75784389","116405",2,"80958750"
Drake,"75371611","67013",6,"76391086"
Justin Bieber,"72623228","34540",6,"75467229"
Billie Eilish,"71793820","-72877",8,"72368528"
Miley Cyrus,"71277599","71089",2,"84140935"
David Guetta,"70838823","-97589",4,"75163500"
Travis Scott,"67161542","-362718",6,"75422869"
Ariana Grande,"66501219","26682",3,"82981758"
Coldplay,"65709359","-24710",12,"69814134"
Calvin Harris,"65035055","32662",13,"67342768"
Shakira,"64372012","-130204",3,"82268835"
Eminem,"64022485","-52362",11,"68591390"
Post Malone,"63914311","-55144",13,"67066636"
Bruno Mars,"63867677","246177",17,"63867677"
Doja Cat,"63625260","716207",20,"63625260"
Nicki Minaj,"62742304","-199822",18,"65680733"
SZA,"61778853","-1645",9,"69932543"
Harry Styles,"59560609","-131842",13,"66411599"
Olivia Rodrigo,"58763998","732723",24,"58763998"
Imagine Dragons,"58675255","139463",18,"61624656"
Kanye West,"58060520","91184",24,"58060520"
Maroon 5,"57136964","-16983",21,"58793104"
Marshmello,"57114865","125302",21,"58346399"
KAROL G,"56787835","-42758",21,"59143777"
Lana Del Rey,"56710801","-29886",27,"56740687"
Sam Smith,"56001427","3604",7,"73972799"
21 Savage,"55901908","86564",19,"61319583"
Selena Gomez,"55309116","208288",22,"58879269"
Daddy Yankee,"54174801","-95548",22,"58098739"
Lady Gaga,"52765199","-1753",22,"57730508"
Metro Boomin,"52207822","-97261",17,"62911430"
Future,"52074976","-148160",22,"58360653"
Khalid,"51957671","-57019",28,"54186217"
J Balvin,"51590178","-73978",29,"54792335"
Beyoncé,"51442770","-122792",26,"55563018"
Adele,"51380385","57407",31,"53902159"
Katy Perry,"51148181","51119",29,"53998988"
Peso Pluma,"50247712","71053",33,"53877990"
Elton John,"48343456","43055",40,"50362330"
Queen,"47586054","93668",45,"48573860"
Chris Brown,"47450314","-25474",25,"54390450"
Kendrick Lamar,"47391930","-8503",33,"54045549"
OneRepublic,"47384563","-104857",39,"50035577"
Myke Towers,"47028831","-27706",49,"47235005"
Rauw Alejandro,"46559302","-100409",34,"52131934"
Ozuna,"45879131","-106370",40,"51532028"
Arctic Monkeys,"45790038","124615",52,"45790038"
Sia,"45728333","-29481",43,"47868578"
Shawn Mendes,"44310129","-12741",45,"46917936"
Bebe Rexha,"43999789","-1426",37,"49496274"
Tiesto,"43284312","-243951",44,"46094072"
Halsey,"42532070","1172",48,"45939636"
Bizarrap,"42259038","-150381",28,"54300662"
Charlie Puth,"41537987","-17338",58,"42603508"
Ice Spice,"41330265","-368853",49,"47203544"
J. Cole,"41053576","-4941",56,"44549954"
Ellie Goulding,"40958180","-74640",51,"45626754"
Anne-Marie,"40359289","-67430",61,"41501481"
Madonna,"40170466","-70403",60,"42630784"
Black Eyed Peas,"39759009","-4973",57,"41190019"
Feid,"39309942","-23179",61,"40900736"
Maluma,"39049409","-55109",67,"39104518"
Camila Cabello,"39036838","-25627",57,"40828152"
Swae Lee,"38810802","-23101",51,"47431521"
Arijit Singh,"38690595","147172",70,"38690595"
One Direction,"38536749","-40048",58,"41614431"
James Arthur,"38265678","-77643",71,"38458175"
Farruko,"37832243","-46192",64,"39498431"
Quevedo,"37671317","-44364",72,"38182790"
Playboi Carti,"37595035","34209",71,"38720453"
The Chainsmokers,"37113564","141989",69,"39275751"
